name,wins,ties,losses
dfs,14,0,86
minimax,70,0,30
random,5,0,95
qlearn4_p2,24,0,76
nn-minimax4,11,0,89
nn-dfs4,21,0,79
nn-hybrid-everything4,35,0,65
