name,wins,ties,losses
dfs,11,0,89
bfs,44,0,56
minimax,100,0,0
random,14,0,86
qlearn4_p2,29,27,44
nn-minimax4,56,0,44
nn-dfs4,10,0,90
nn-hybrid-everything4,44,0,56
